time,open,high,low,close,Buy Signal,Sell Signal
1704744780,376.07,376.98,376,376.82,1,0
1704810600,374.76,374.88,373.74,374.63,0,0
1704813540,374.68,374.75,373.995,374.22,0,0
1704816480,374.2,375.11,374.11,375.09,0,0
1704819420,375.14,375.44,375.03,375.345,0,0
1704822360,375.33,375.55,374.35,374.41,0,0
1704825300,374.44,375.6,374.44,374.81,0,0
1704828240,374.89,375.11,374.7,374.93,0,0
1704831180,374.91,375.465,374.84,375.24,0,0
1704897000,375.5,376.59,375.3,375.46,0,0
1704899940,375.46,376.15,375.4,375.89,0,0
1704902880,375.89,376.02,375.49,375.69,0,0
1704905820,375.79,375.94,375.49,375.8,0,0
1704908760,375.81,376.22,375.54,375.96,0,0
1704911700,375.99,376.83,375.7,376.82,0,0
1704914640,376.83,377.46,376.78,377.27,0,0
1704917580,377.29,377.36,376.07,376.92,0,0
1704983400,377.77,378.11,374.44,374.73,0,0
1704986340,374.83,375.82,374.83,374.98,0,0
1704989280,374.99,375.19,374.24,374.42,0,1
1704992220,374.54,375.39,374.39,375.39,0,0
1704995160,375.41,376.2,375.35,375.98,0,0
1704998100,375.99,376.77,375.9,376.31,0,0
1705001040,376.35,377.44,376.35,377,0,0
1705003980,376.91,377.39,376.53,377.18,0,0
1705069800,377.53,378.25,375.42,375.42,0,0
1705072740,375.52,375.92,374.74,375.35,0,0
1705075680,375.38,375.7,374.82,375.04,0,0
1705078620,375.12,375.53,374.91,375.28,0,0
1705081560,375.19,375.9,375.14,375.81,0,0
1705084500,375.82,376.38,375.8,376.07,0,0
1705087440,376.13,376.21,375.48,375.65,0,0
1705090380,375.65,376.11,375.35,375.95,0,0
1705415400,374.96,375.53,373.25,374.57,0,0
1705418340,374.58,375.23,373.58,373.95,0,0
1705421280,373.92,374.6,373.61,373.98,0,0
1705424220,373.96,374.11,372.95,373.35,0,0
1705427160,373.36,373.77,372.95,373.65,0,0
1705430100,373.65,373.65,372.04,372.24,0,0
1705433040,372.21,373.01,372.2,373.01,0,0
1705435980,373.01,373.72,372.7,373.59,0,0
1705501800,371.74,373.33,371.64,373.07,0,0
1705504740,372.95,373.71,372.67,373.6,0,0
1705507680,373.61,373.74,373.2,373.25,0,0
1705510620,373.24,373.3,372.3,372.4,0,0
1705513560,372.37,372.82,371.87,371.97,0,0
1705516500,371.94,372.18,371.335,372.18,0,0
1705519440,372.1,372.34,371.82,371.83,0,0
1705522380,371.82,373.005,371.6,372.78,0,0
1705588200,372.25,372.58,371.37,372.45,0,0
1705591140,372.39,372.98,371.96,372.06,0,0
1705594080,372.07,373.02,372.05,372.69,0,0
1705597020,372.65,372.72,371.68,372.2,0,0
1705599960,372.21,372.37,371.65,372.37,0,0
1705602900,372.36,373.79,372.35,373.79,0,0
1705605840,373.81,374.65,373.7,374.56,0,0
1705608780,374.62,375.32,374.49,374.8,0,0
1705674600,375.78,375.99,374.46,375.44,1,0
1705677540,375.46,376.16,375.02,376.06,0,0
