time,open,high,low,close,Buy Signal,Sell Signal
5/26/2021,418.87,419.61,417.76,419.07,0,0
5/27/2021,420.17,420.72,418.9851,419.29,0,0
5/28/2021,420.97,421.25,419.79,420.04,0,0
6/1/2021,422.57,422.72,419.2,419.67,0,0
6/2/2021,420.37,421.23,419.29,420.33,0,0
6/3/2021,417.85,419.99,416.28,418.77,0,0
6/4/2021,420.75,422.92,418.8422,422.6,0,0
6/7/2021,422.59,422.78,421.19,422.19,0,0
6/8/2021,423.11,423.21,420.32,422.28,0,0
6/9/2021,423.18,423.26,421.41,421.65,0,0
6/10/2021,422.96,424.63,421.55,423.61,0,0
6/11/2021,424.2,424.43,422.82,424.31,0,0
6/14/2021,424.43,425.37,423.1,425.26,0,0
6/15/2021,425.42,425.46,423.54,424.48,0,0
6/16/2021,424.63,424.87,419.92,422.11,0,0
6/17/2021,421.67,423.02,419.32,421.97,0,0
6/18/2021,417.09,417.8281,414.7,414.92,0,1
6/21/2021,416.8,421.06,415.93,420.86,0,0
6/22/2021,420.85,424,420.08,423.11,0,0
6/23/2021,423.19,424.05,422.51,422.6,0,0
6/24/2021,424.89,425.55,424.62,425.1,0,0
6/25/2021,425.9,427.0943,425.55,426.61,0,0
6/28/2021,427.17,427.65,425.89,427.47,1,0
6/29/2021,427.88,428.56,427.13,427.7,0,0
6/30/2021,427.21,428.78,427.18,428.06,0,0
7/1/2021,428.87,430.6,428.8,430.43,0,0
7/2/2021,431.67,434.1,430.5218,433.72,0,0
7/6/2021,433.78,434.01,430.01,432.93,0,0
7/7/2021,433.66,434.76,431.51,434.46,0,0
7/8/2021,428.78,431.73,427.52,430.92,0,0
7/9/2021,432.53,435.84,430.714,435.52,0,0
7/12/2021,435.43,437.35,434.97,437.08,0,0
7/13/2021,436.24,437.84,435.31,435.59,0,0
7/14/2021,437.4,437.92,434.91,436.24,0,0
7/15/2021,434.81,435.53,432.72,434.75,0,0
7/16/2021,436.01,436.06,430.92,431.34,0,0
7/19/2021,426.19,431.4089,421.97,424.97,0,0
7/20/2021,425.68,432.42,424.83,431.06,0,0
7/21/2021,432.34,434.7,431.0111,434.55,0,0
7/22/2021,434.74,435.72,433.69,435.46,0,0
7/23/2021,437.52,440.3,436.79,439.94,0,0
7/26/2021,439.31,441.03,439.26,441.02,0,0
7/27/2021,439.91,439.94,435.99,439.01,0,0
7/28/2021,439.68,440.3,437.31,438.83,0,0
7/29/2021,439.815,441.8,439.81,440.65,0,0
7/30/2021,437.91,440.06,437.77,438.51,0,0
8/2/2021,440.34,440.93,437.21,437.59,0,0
8/3/2021,438.44,441.28,436.1,441.15,0,0
8/4/2021,439.78,441.1243,438.73,438.98,0,0
8/5/2021,440.22,441.85,439.88,441.76,0,0
8/6/2021,442.1,442.94,441.8,442.49,0,0
8/9/2021,442.46,442.795,441.31,442.13,0,0
8/10/2021,442.61,443.44,441.88,442.68,0,0
8/11/2021,443.82,443.882,442.62,443.78,0,0
8/12/2021,443.62,445.2572,442.66,445.11,0,0
8/13/2021,445.59,445.94,445.07,445.92,0,0
8/16/2021,444.53,447.11,442.87,446.97,0,0
8/17/2021,444.24,444.96,440.85,444.04,0,0
8/18/2021,442.96,444.625,438.92,439.18,0,0
8/19/2021,436.27,441.14,436.12,439.86,0,0
8/20/2021,440.23,443.71,439.71,443.36,0,0
8/23/2021,445.16,448.23,443.4355,447.26,0,0
8/24/2021,447.97,448.54,447.42,447.97,0,0
8/25/2021,448.17,449.457,447.77,448.91,0,0
8/26/2021,448.61,448.86,446.16,446.26,0,0
8/27/2021,447.12,450.65,447.06,450.25,0,0
8/30/2021,450.97,453.07,450.71,452.23,0,0
8/31/2021,452.13,452.49,450.92,451.56,0,0
9/1/2021,452.56,453.11,451.545,451.8,0,0
9/2/2021,453.32,454.05,451.91,453.19,0,0
9/3/2021,451.98,453.63,451.55,453.08,0,0
9/7/2021,452.71,452.81,450.7423,451.46,0,0
9/8/2021,450.89,451.67,448.86,450.91,0,0
9/9/2021,450.7,452.57,448.72,448.98,0,0
9/10/2021,451.04,451.49,445.31,445.44,0,0
9/13/2021,448.64,448.92,444.11,446.58,0,0
9/14/2021,448.12,448.34,443.22,444.17,0,0
9/15/2021,444.62,448.41,443.44,447.88,0,0
9/16/2021,447.32,448.36,444.02,447.17,0,0
9/17/2021,444.92,445.37,441.02,441.4,0,1
9/20/2021,434.88,436.56,428.86,434.04,0,0
9/21/2021,436.53,437.91,433.07,433.63,0,0
9/22/2021,436.05,440.03,433.747,437.86,0,0
9/23/2021,439.85,444.89,439.6,443.18,0,0
9/24/2021,441.44,444.67,441.21,443.91,0,0
9/27/2021,442.81,444.05,441.9,442.64,0,0
9/28/2021,439.69,440.04,432.94,433.72,0,0
9/29/2021,435.19,437.04,433.85,434.45,0,0
9/30/2021,436.02,436.77,428.78,429.14,0,0
10/1/2021,430.98,436.0329,427.23,434.24,0,0
10/4/2021,433,433.96,426.36,428.64,0,0
10/5/2021,430.24,435.49,429.39,433.1,0,0
10/6/2021,429.27,435.1199,427.54,434.9,0,0
10/7/2021,438.39,441.68,438.2,438.66,0,0
10/8/2021,439.48,439.89,437.19,437.86,0,0
10/11/2021,437.16,440.26,434.62,434.69,0,0
10/12/2021,435.67,436.1,432.78,433.62,0,0
10/13/2021,434.71,436.05,431.54,435.18,0,0
10/14/2021,439.08,442.66,438.58,442.5,0,0
10/15/2021,444.75,446.26,444.09,445.87,1,0
10/18/2021,443.97,447.55,443.27,447.19,0,0
10/19/2021,448.92,450.71,448.27,450.64,0,0
10/20/2021,451.13,452.732,451.01,452.41,0,0
10/21/2021,451.77,453.829,451.31,453.59,0,0
10/22/2021,453.13,454.67,451.05,453.12,0,0
10/25/2021,454.28,455.9,452.39,455.55,0,0
10/26/2021,457.2,458.49,455.56,455.96,0,0
10/27/2021,456.45,457.16,453.86,453.94,0,0
10/28/2021,455.46,458.4,455.45,458.32,0,0
10/29/2021,455.87,459.56,455.56,459.25,0,0
11/1/2021,460.3,460.7021,458.2,460.04,0,0
11/2/2021,460.22,462.23,460.08,461.9,0,0
11/3/2021,461.3,465.15,460.83,464.72,0,0
11/4/2021,465.36,467,464.99,466.91,0,0
11/5/2021,469.28,470.65,466.92,468.53,0,0
11/8/2021,469.7,470.23,468.2031,468.93,0,0
11/9/2021,469.32,469.57,465.88,467.38,0,0
11/10/2021,465.58,467.38,462.04,463.62,0,0
11/11/2021,465.21,465.29,463.75,463.77,0,0
11/12/2021,465.12,467.86,464.11,467.27,0,0
11/15/2021,468.64,468.81,466.23,467.43,0,0
11/16/2021,467.15,470.485,467.07,469.28,0,0
11/17/2021,469,469.19,467.48,468.14,0,0
11/18/2021,469.24,470.01,466.34,469.73,0,0
11/19/2021,469.61,470.94,468.5,468.89,0,0
11/22/2021,470.89,473.54,467.35,467.57,0,0
11/23/2021,467.22,469.095,464.45,468.19,0,0
11/24/2021,466.06,469.57,465.19,469.44,0,0
11/26/2021,462.34,463.9,457.77,458.97,0,0
11/29/2021,464.07,466.56,461.73,464.6,0,0
11/30/2021,462,464.03,455.3,455.56,0,1
12/1/2021,461.64,464.67,450.29,450.5,0,0
12/2/2021,450.73,459.07,450.31,457.4,0,0
12/3/2021,459.17,460.3,448.92,453.42,0,0
12/6/2021,456.13,460.79,453.56,458.79,0,0
12/7/2021,464.41,468.88,458.6546,468.28,0,0
12/8/2021,468.7,470,466.83,469.52,0,0
12/9/2021,468.15,469.6291,466.14,466.35,0,0
12/10/2021,469.23,470.9,466.51,470.74,0,0
12/13/2021,470.19,470.56,466.27,466.57,1,0
12/14/2021,463.09,465.74,460.25,463.36,0,0
12/15/2021,463.42,470.86,460.74,470.6,0,0
12/16/2021,472.57,472.87,464.8,466.45,0,0
12/17/2021,461.55,464.74,458.06,459.87,0,0
12/20/2021,454.48,455.4,451.14,454.98,0,1
12/21/2021,458.61,463.21,456.31,463.06,0,0
12/22/2021,462.79,467.81,462.58,467.69,0,0
